Date,US10Year,VIX,IBCL
2/27/20,4.33,39.16,3.8125
2/28/20,4.31,40.11,3.7188
3/2/20,4.29,33.42,3.7813
3/3/20,4.32,36.82,3.7813
3/4/20,4.22,31.99,3.8125
3/5/20,4.24,39.62,3.7188
3/6/20,4.22,41.94,3.7188
3/9/20,4.11,54.46,3.75
3/10/20,4.16,47.3,3.6875
3/11/20,4.19,53.9,3.625
3/12/20,4.37,75.47,3.625
3/13/20,4.67,57.83,3.625
3/16/20,4.68,82.69,3.75
3/17/20,4.68,75.91,3.75
3/18/20,4.74,76.45,3.8125
3/19/20,4.74,72,3.8125
3/20/20,4.94,66.04,3.7813
3/23/20,4.94,61.59,3.7813
3/24/20,5.06,61.67,3.375
3/25/20,4.84,63.95,3.375
3/26/20,4.81,61,3.375
3/27/20,4.87,65.54,3.375
3/30/20,4.89,57.08,3.375
3/31/20,4.87,53.54,3.375
4/1/20,4.93,57.06,3.5
4/2/20,5,50.91,3.5
4/3/20,4.95,46.8,3.375
4/6/20,4.81,45.24,3.3438
4/7/20,4.67,46.7,3.3125
4/8/20,4.54,43.35,3.34
4/9/20,4.67,41.67,3.34
4/10/20,4.54,41.67,3.34
4/13/20,4.36,41.17,3.34
4/14/20,4.25,37.76,3.3438
4/15/20,4.2,40.84,3.3438
4/16/20,4.12,40.11,3.2813
4/17/20,3.92,38.15,2.8125
4/20/20,3.82,43.83,2.8125
4/21/20,3.87,45.41,2.7813
4/22/20,3.9,41.98,2.75
4/23/20,3.86,41.38,2.75
4/24/20,3.76,35.93,2.75
4/27/20,3.56,33.29,2.625
4/28/20,3.46,33.57,2.625
