Date,Rate
1/5/00,5.5
2/5/00,5.6
3/5/00,5.9
4/5/00,6.2
5/5/00,6.5
6/5/00,6.1
7/5/00,6.5
8/5/00,6.8
9/5/00,6.5
10/5/00,6.9
11/5/00,7.8
12/5/00,8.7
1/5/01,5.8
2/5/01,5.8
3/5/01,5.8
4/5/01,5.5
5/5/01,5.5
6/5/01,5.9
7/5/01,6
8/5/01,5.7
9/5/01,5.7
10/5/01,5.2
11/5/01,4.2
12/5/01,3.7
1/5/02,3.3
2/5/02,2.9
3/5/02,3.3
4/5/02,3.4
5/5/02,3.2
6/5/02,2.6
7/5/02,2.5
8/5/02,2.7
9/5/02,2.5
10/5/02,2.3
11/5/02,2.1
12/5/02,2.1
1/5/03,1.9
2/5/03,2.3
3/5/03,2.1
4/5/03,2.2
5/5/03,2.2
6/5/03,2.8
7/5/03,2.3
8/5/03,2.2
9/5/03,2.2
10/5/03,2.3
11/5/03,2.4
12/5/03,2.5
1/5/04,2.9
2/5/04,2.9
3/5/04,3.1
4/5/04,3.2
5/5/04,3.6
6/5/04,4.1
7/5/04,5.5
8/5/04,5.7
9/5/04,6.2
10/5/04,6.3
11/5/04,6.8
12/5/04,7.1
1/5/05,7.3
2/5/05,7.3
3/5/05,7.1
4/5/05,7.2
5/5/05,7.3
6/5/05,6.7
7/5/05,6
8/5/05,6.1
9/5/05,6
10/5/05,6.2
11/5/05,6.2
12/5/05,5.9
1/5/06,5.9
2/5/06,6.5
3/5/06,6.6
4/5/06,6.3
5/5/06,6
6/5/06,5.9
7/5/06,5.5
8/5/06,5.2
9/5/06,4.9
10/5/06,4.7
11/5/06,4.2
12/5/06,4.1
1/5/07,3.8
2/5/07,2.9
3/5/07,2.6
4/5/07,2.6
5/5/07,2.7
6/5/07,2.6
7/5/07,2.9
8/5/07,2.7
9/5/07,2.9
10/5/07,2.9
11/5/07,3.1
12/5/07,3.7
1/5/08,4.6
2/5/08,5.1
3/5/08,5.9
4/5/08,7.3
5/5/08,8.2
6/5/08,9.4
7/5/08,10.2
8/5/08,10.5
9/5/08,10.1
10/5/08,9.7
11/5/08,9.1
12/5/08,7.8
1/5/09,7.1
2/5/09,7.2
3/5/09,6.6
4/5/09,5.6
5/5/09,4.3
6/5/09,3.2
7/5/09,2.2
8/5/09,1.7
9/5/09,2.3
10/5/09,2.9
11/5/09,3.5
12/5/09,4.4
1/5/10,3.9
2/5/10,3.9
3/5/10,3.9
4/5/10,4
5/5/10,3.9
6/5/10,3.6
7/5/10,3.7
8/5/10,4.1
9/5/10,3.8
10/5/10,3.2
11/5/10,3.7
12/5/10,3.6
1/5/11,4
2/5/11,4.7
3/5/11,4.9
4/5/11,4.7
5/5/11,4.9
6/5/11,5.2
7/5/11,4.9
8/5/11,4.6
9/5/11,4.7
10/5/11,5.2
11/5/11,4.7
12/5/11,4.2
1/5/12,4.1
2/5/12,3
3/5/12,2.9
4/5/12,3.2
5/5/12,2.9
6/5/12,2.7
7/5/12,3.1
8/5/12,3.7
9/5/12,3.6
10/5/12,3.2
11/5/12,2.8
12/5/12,2.9
1/5/13,2.8
2/5/13,2.9
3/5/13,2.7
4/5/13,2.2
5/5/13,2.3
6/5/13,2.5
7/5/13,2.4
8/5/13,1.8
9/5/13,2.3
10/5/13,2.4
11/5/13,2.9
12/5/13,3.8
1/5/14,3.7
2/5/14,3.6
3/5/14,3.5
4/5/14,3.6
5/5/14,4
6/5/14,3.8
7/5/14,4.2
8/5/14,4.2
9/5/14,3.9
10/5/14,3.7
11/5/14,3
12/5/14,1.9
1/5/15,1.5
2/5/15,1.5
3/5/15,1.5
4/5/15,1.4
5/5/15,0.9
6/5/15,0.6
7/5/15,0.2
8/5/15,0
9/5/15,-0.4
10/5/15,-0.2
11/5/15,0.3
12/5/15,0.7
1/5/16,0.7
2/5/16,0.5
3/5/16,0.6
4/5/16,0.7
5/5/16,0.9
6/5/16,1.3
7/5/16,1.3
8/5/16,1.3
9/5/16,1.7
10/5/16,1.8
11/5/16,2.1
12/5/16,2.2
1/5/17,2.5
2/5/17,3.1
3/5/17,3.1
4/5/17,3.2
5/5/17,2.9
6/5/17,2.5
7/5/17,2.4
8/5/17,2.6
9/5/17,3
10/5/17,3.1
11/5/17,3
12/5/17,2.9
1/5/18,3.4
2/5/18,3.8
3/5/18,4.3
4/5/18,4.5
5/5/18,4.6
6/5/18,5.2
7/5/18,5.7
8/5/18,6.4
9/5/18,6.7
10/5/18,6.7
11/5/18,6
12/5/18,5.1
1/5/19,4.4
2/5/19,3.8
3/5/19,3.3
4/5/19,3
5/5/19,3.2
6/5/19,2.7
7/5/19,2.4
8/5/19,1.7
9/5/19,0.9
10/5/19,0.8
11/5/19,1.3
12/5/19,2.5
1/5/20,2.9
2/5/20,2.6
3/5/20,2.5
4/5/20,2.2
